id,naics,num_employees,lat,lon,size,GEOID
55853,32619910,1,41.915348,-87.748657,Small,17031
61018,32619910,2,41.921917,-87.644089,Small,17031
93224,32619910,5,41.947723,-87.738556,Small,17031
108473,32619910,8,41.917225,-87.75882,Small,17031
113939,32619910,12,41.947723,-87.738556,Small,17031
116627,32619910,18,41.896114,-87.648651,Small,17031
117332,32619910,20,41.90184,-87.736824,Small,17031
118666,32619910,25,41.999603,-87.814018,Medium,17031
118928,32619910,25,41.981506,-87.844849,Medium,17031
119047,32619910,25,41.788399,-87.740623,Medium,17031
119087,32619910,25,41.867912,-87.713356,Medium,17031
124054,32619910,35,41.527481,-87.617699,Medium,17031
139623,32619910,13,42.004688,-87.867065,Small,17031
139760,32619910,25,42.019943,-87.917221,Medium,17031
139767,32619910,25,42.027184,-87.891899,Medium,17031
139775,32619910,25,42.050865,-87.892746,Medium,17031
153064,32619910,2,42.027962,-87.971268,Small,17031
154077,32619910,5,42.01078,-87.949989,Small,17031
154606,32619910,12,42.017517,-87.966286,Small,17031
154750,32619910,20,42.012272,-87.967873,Small,17031
154839,32619910,26,42.032356,-87.97805,Medium,17031
155042,32619910,90,42.007278,-87.974327,Medium,17031
157337,32619910,40,41.926907,-87.8228,Medium,17031
165806,32619910,4,41.494938,-87.787163,Small,17031
166266,32619910,100,41.497684,-87.782494,Large,17031
166272,32619910,150,41.498901,-87.785477,Large,17031
166859,32619910,50,41.948215,-87.919785,Medium,17031
183450,32619910,35,41.963047,-87.811768,Medium,17031
253680,32619910,25,42.116322,-87.82505,Medium,17031
271556,32619910,60,42.117603,-88.056152,Medium,17031
301360,32619910,17,42.096073,-88.030533,Small,17031
308959,32619910,25,42.001751,-88.096191,Medium,17031
308964,32619910,25,42.003189,-88.09951,Medium,17031
309567,32619910,40,41.967533,-87.863579,Medium,17031
314123,32619910,11,42.0187,-87.715744,Small,17031
346625,32619910,50,42.111156,-87.917297,Medium,17031
20333,32619913,3,41.949329,-87.920364,Small,17031
33916,32619913,90,41.761074,-87.910416,Medium,17031
93223,32619913,5,41.900654,-87.746117,Small,17031
118904,32619913,25,41.883457,-87.651276,Medium,17031
119331,32619913,30,41.727757,-87.645065,Medium,17031
121029,32619913,50,41.876476,-87.648033,Medium,17031
121358,32619913,50,41.913742,-87.749672,Medium,17031
